Household tota,Total - Households,  Households without persons aged 0 to 17,  Households with persons aged 0 to 17,    Households with persons 0 to 5,    Households without persons aged 0 to 5 (persons aged 6 to 17 are present)
Total - Household total income groups in 2020 for private households - 25% sample data,9930,4305,5620,3305,2315
"  Under $5,000",100,60,40,20,20
"  $5,000 to $9,999",100,85,15,0,10
"  $10,000 to $14,999",130,110,20,0,15
"  $15,000 to $19,999",145,90,55,25,25
"  $20,000 to $24,999",210,155,50,25,30
"  $25,000 to $29,999",230,135,90,45,45
"  $30,000 to $34,999",250,135,115,75,45
"  $35,000 to $39,999",165,75,90,55,35
"  $40,000 to $44,999",245,100,140,100,45
"  $45,000 to $49,999",235,85,150,75,75
"  $50,000 to $59,999",450,170,285,165,115
"  $60,000 to $69,999",505,165,345,230,115
"  $70,000 to $79,999",455,160,290,195,95
"  $80,000 to $89,999",500,165,335,200,130
"  $90,000 to $99,999",430,160,275,175,100
"  $100,000 and over",5765,2440,3325,1910,1410
"    $100,000 to $124,999",1145,500,640,375,265
"    $125,000 to $149,999",1085,465,620,375,240
"    $150,000 to $199,999",1390,590,800,475,320
"    $200,000 and over",2145,880,1265,685,580
Median : Income: Total income of household,118000,115000,120000,117000,124000
