Household tota,Total - Household size,  1 person,  2 or more persons,    2 persons,    3 persons,    4 persons,    5 persons or more
Total - Household total income groups in 2020 for private households - 25% sample data,9930,1955,7970,1915,1415,1395,3240
"  Under $5,000",100,60,40,15,15,10,0
"  $5,000 to $9,999",100,85,20,0,10,0,0
"  $10,000 to $14,999",130,95,35,20,10,0,10
"  $15,000 to $19,999",145,75,70,35,10,15,0
"  $20,000 to $24,999",210,135,75,45,15,10,10
"  $25,000 to $29,999",230,105,125,65,25,15,15
"  $30,000 to $34,999",250,80,170,80,40,20,30
"  $35,000 to $39,999",165,35,130,45,25,30,30
"  $40,000 to $44,999",245,45,195,55,50,40,50
"  $45,000 to $49,999",235,40,200,65,65,35,50
"  $50,000 to $59,999",450,65,385,85,80,75,145
"  $60,000 to $69,999",505,80,430,65,75,70,215
"  $70,000 to $79,999",455,75,375,70,65,60,180
"  $80,000 to $89,999",500,90,410,45,65,85,215
"  $90,000 to $99,999",430,80,350,65,60,60,165
"  $100,000 and over",5765,810,4955,1140,810,875,2120
"    $100,000 to $124,999",1145,285,860,190,120,165,390
"    $125,000 to $149,999",1085,285,800,150,140,125,385
"    $150,000 to $199,999",1390,175,1215,290,195,200,525
"    $200,000 and over",2145,70,2075,505,360,390,820
Median : Income: Total income of household,118000,80000,128000,124000,123000,129000,131000
