Household tota,Total - Household type including census family structure,  Census-family households,    Households consisting of only one census family without additional persons,"      One couple, with or without children in their census family",        Without children,        With children,      One one-parent census family,        With a parent that is a man+,        With a parent that is a woman+,    Other census family households,  Non-census family households
Total - Household total income groups in 2020 for private households - 25% sample data,9930,7570,5545,4115,915,3200,1435,385,1045,2025,2355
"  Under $5,000",100,30,30,0,0,0,25,0,20,0,65
"  $5,000 to $9,999",100,15,15,0,0,0,10,0,0,0,90
"  $10,000 to $14,999",130,30,30,10,0,0,25,10,15,0,100
"  $15,000 to $19,999",145,65,60,10,0,0,45,25,20,0,80
"  $20,000 to $24,999",210,65,55,10,0,10,45,15,30,10,145
"  $25,000 to $29,999",230,120,110,30,10,25,80,25,55,0,110
"  $30,000 to $34,999",250,155,140,55,15,40,90,20,70,15,90
"  $35,000 to $39,999",165,115,100,35,0,30,65,25,45,15,50
"  $40,000 to $44,999",245,185,155,70,20,55,85,20,65,25,65
"  $45,000 to $49,999",235,185,155,70,15,55,85,15,70,25,50
"  $50,000 to $59,999",450,375,305,190,30,160,115,30,80,75,80
"  $60,000 to $69,999",505,410,315,215,20,195,100,20,80,95,95
"  $70,000 to $79,999",455,365,295,225,30,195,75,15,55,65,95
"  $80,000 to $89,999",500,400,280,205,25,185,75,15,60,120,100
"  $90,000 to $99,999",430,335,235,180,25,155,60,15,45,100,100
"  $100,000 and over",5765,4725,3265,2810,725,2085,450,120,335,1465,1040
"    $100,000 to $124,999",1145,820,565,420,85,335,140,35,110,255,325
"    $125,000 to $149,999",1085,790,550,405,70,335,145,40,110,235,295
"    $150,000 to $199,999",1390,1145,775,675,175,500,100,30,70,365,245
"    $200,000 and over",2145,1975,1375,1310,400,910,60,20,45,605,170
Median : Income: Total income of household,118000,129000,122000,146000,184000,136000,63600,57200,65500,145000,86000
