Household tota,Total - Shelter-cost-to-income ratio,  Spending less than 30% of income on shelter costs,    Less than 15%,    15% to less than 30%,  Spending 30% or more of income on shelter costs,    30% to less than 50%,    50% to less than 100%,  Not applicable
Total - Household total income groups in 2020 for private households - 25% sample data,9925,9350,7930,1415,560,305,140,15
"  Under $5,000",100,10,10,0,75,0,10,15
"  $5,000 to $9,999",105,85,50,30,20,0,10,0
"  $10,000 to $14,999",130,100,80,20,30,10,0,0
"  $15,000 to $19,999",145,110,95,10,40,15,15,0
"  $20,000 to $24,999",210,175,155,15,40,15,15,0
"  $25,000 to $29,999",230,195,175,15,35,15,20,0
"  $30,000 to $34,999",250,205,195,10,45,20,20,0
"  $35,000 to $39,999",165,140,130,15,25,20,10,0
"  $40,000 to $44,999",240,225,205,20,20,10,10,0
"  $45,000 to $49,999",235,210,190,25,25,15,10,0
"  $50,000 to $59,999",455,410,370,35,45,30,20,0
"  $60,000 to $69,999",505,475,410,60,35,30,0,0
"  $70,000 to $79,999",455,430,365,65,25,25,10,0
"  $80,000 to $89,999",495,485,395,90,15,10,0,0
"  $90,000 to $99,999",430,425,340,85,10,10,0,0
"  $100,000 and over",5765,5670,4770,900,90,90,10,0
"    $100,000 to $124,999",1145,1095,885,210,50,50,0,0
"    $125,000 to $149,999",1085,1055,820,235,30,25,0,0
"    $150,000 to $199,999",1390,1375,1145,230,15,10,0,0
"    $200,000 and over",2145,2145,1925,225,0,0,0,0
Median : Income: Total income of household,118000,123000,124000,123000,37200,62400,33600,x
