Household tota,Total - Core housing need,  Household examined for core housing need,    In core need,    Not in core need,  Not applicable
Total - Household total income groups in 2020 for private households - 25% sample data,9925,9790,3220,6565,135
"  Under $5,000",100,20,10,0,80
"  $5,000 to $9,999",105,85,30,60,15
"  $10,000 to $14,999",130,115,45,75,15
"  $15,000 to $19,999",145,135,75,60,15
"  $20,000 to $24,999",210,205,110,90,0
"  $25,000 to $29,999",230,225,115,105,10
"  $30,000 to $34,999",250,250,140,110,0
"  $35,000 to $39,999",165,165,105,60,0
"  $40,000 to $44,999",240,245,145,100,0
"  $45,000 to $49,999",235,235,135,100,0
"  $50,000 to $59,999",455,455,280,180,0
"  $60,000 to $69,999",505,505,335,170,0
"  $70,000 to $79,999",455,455,275,175,0
"  $80,000 to $89,999",495,495,310,190,0
"  $90,000 to $99,999",430,430,205,225,0
"  $100,000 and over",5765,5765,905,4860,0
"    $100,000 to $124,999",1145,1145,495,650,0
"    $125,000 to $149,999",1085,1085,340,750,0
"    $150,000 to $199,999",1390,1390,70,1320,0
"    $200,000 and over",2145,2145,0,2145,0
Median : Income: Total income of household,118000,120000,73000,157000,1000
