Household tota,Total - Dwelling condition,  Only regular maintenance  and minor repairs needed,  Major repairs needed
Total - Household total income groups in 2020 for private households - 25% sample data,9925,7285,2640
"  Under $5,000",100,80,20
"  $5,000 to $9,999",105,75,25
"  $10,000 to $14,999",130,95,35
"  $15,000 to $19,999",145,90,50
"  $20,000 to $24,999",210,145,70
"  $25,000 to $29,999",230,160,65
"  $30,000 to $34,999",250,180,75
"  $35,000 to $39,999",165,105,65
"  $40,000 to $44,999",240,165,80
"  $45,000 to $49,999",235,170,65
"  $50,000 to $59,999",455,315,135
"  $60,000 to $69,999",505,335,170
"  $70,000 to $79,999",455,320,135
"  $80,000 to $89,999",495,335,165
"  $90,000 to $99,999",430,315,120
"  $100,000 and over",5765,4405,1360
"    $100,000 to $124,999",1145,860,280
"    $125,000 to $149,999",1085,805,280
"    $150,000 to $199,999",1390,1040,345
"    $200,000 and over",2145,1700,445
Median : Income: Total income of household,118000,123000,104000
